Article ID,Reference,MWP technique,Relevance for TC MWP,Classification category,Application axis,Test methodology axis,Data analysis type
P115,"Syukuriah, S. and Hustim, M. and Tjaronge, W. and Irmawaty, R. (2025)",UT only,Medium,Comparative study (MWP vs conventional),Other / not specified in form,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P117,"Atakan, Mert and Yıldız, Kürşat (2024)",Neither UT nor IRT,Low,Standalone MWP study,Other / not specified in form,No UT/IRT methodology reported,Domain not reported; method not reported
P119,"Li, Long and Chen, Jun (2024)",UT only,High,Standalone MWP study,LVE stiffness / complex modulus characterization,UT through-transmission (S/R-waves),Time + frequency domain; analytical (closed-form)
P120,"Rashetnia, Reza and Kusam, Abhilash and Yadav, Shivpal and Pour-Ghaz, Mohammad and Tayebali, Akhtarhusein (2022)",IRT only,Medium,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,IRT free-free resonance (Flexural),Frequency domain; analytical (closed-form)
P123,"Hou, S. and Deng, Y. and Jin, R. and Shi, X. and Luo, X. (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P/S-waves),Time domain; analytical (closed-form)
P124,"Pratama, A.P. and Caronge, M.A. and Tjaronge, M.W. (2025)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P125,"Majhi, Debanjan and Karmakar, Sandip and Roy, Tapas Kumar (2017)",UT only,Not reported,Standalone MWP study,LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Domain not reported; method not reported
P127,"Li, F. and Shen, C. and Li, Y. and Li, H. (2006)",UT only,Low,MWP + conventional tests (no formal comparison),Damage / durability monitoring,UT through-transmission (P-waves),Domain not reported; method not reported
P128,"Ryden, N. (2010)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal/Flexural),Frequency domain; analytical (closed-form)
P129,"Shiong, F. and Shaffie, E. and Din, M.S.I. and Mohamad Rais, N. and Kamaluddin, N.A. (2025)",UT only,Low,Standalone MWP study,Damage / durability monitoring,UT through-transmission (P-waves),Time domain; method not reported
P130,"Ramadan, K.Z. and Haddad, R.H. (2017)",UT only,Low,Comparative study (MWP vs conventional),Damage / durability monitoring,UT through-transmission (P-waves),Time domain; empirical / regression
P131,"Li, S. and Gu, X. and Zhang, T. (2019)",UT only,"Low/Medium (2 reviews, discordant)",Comparative study (MWP vs conventional) | Standalone MWP study,Damage / durability monitoring | LVE stiffness / complex modulus characterization (+ QC),UT through-transmission (P-waves),Time + frequency domain; method not reported | Time + frequency domain; numerical inverse (FEM/other)
P133,"Ahn, Hyung Jun and Lee, Jusang (2016)",UT only,Low,MWP + conventional tests (no formal comparison),Other / not specified in form,UT (configuration not reported),Domain not reported; method not reported
P135,"Sharma, D. and Sharma, A. (2023)",UT only,Low,Standalone MWP study,"QC / empirical correlation (strength, density, voids)",UT (configuration not reported),Domain not reported; method not reported
P136,"Boz, I. and Tavassoti-Kheiry, P. and Solaimanian, M. (2017)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P137,"Boz, I. and Solaimanian, M. (2016)",IRT only,High,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P139,"Zhang, Lei and Li, Tian-shuai and Tan, Yi-qiu (2016)",IRT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Flexural),Frequency domain; analytical (closed-form)
P141,"Larcher, N. and Takarli, M. and Angellier, N. and Petit, C. and Sebbah, H. (2015)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time + frequency domain; analytical (closed-form)
P143,"du Tertre, Antonin and Kırlangıç, Ahmet Serhan and Cascante, Giovanni and Tighe, Susan L (2022)",UT only,Low,Standalone MWP study,"QC / empirical correlation (strength, density, voids)",UT (configuration not reported) (P/R-waves),Frequency domain; method not reported
P144,"Birgisson, B. and Roque, R. and Page, G.C. (2003)",UT only,Medium,Standalone MWP study,Damage / durability monitoring (+ stiffness),UT through-transmission (P-waves),Time domain; analytical (closed-form)
P145,"Jinrong, W. and Kai, Q. and Dongdong, M. (2014)",UT only,Low,Comparative study (MWP vs conventional),Other / not specified in form,UT through-transmission (P-waves),Time domain; method not reported
P149,"McGovern, M.E. and Behnia, B. and Buttlar, W.G. and Reis, H. (2017)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT surface-wave (S-waves),Domain not reported; method not reported
P151,"Arabani, M. and Khe Iry, P.T. and Ferdowsi, B. (2012)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (S-waves),Time domain; analytical (closed-form)
P152,"Rahul, M.S. and Jakati, S.S. and Sahana, K. and Shiva Kumar, G. (2024)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization (+ damage),UT through-transmission (P-waves),Time domain; method not reported
P153,"Boz, I. and Bekiroglu, K. and Solaimanian, M. and Tavassoti-Kheiry, P. and Lagoa, C. (2017)",IRT only,High,Standalone MWP study,Other / not specified in form,IRT free-free resonance (Longitudinal),Time + frequency domain; analytical (closed-form)
